CLASSIFICATION,POROSITY,FIELD_CAPACITY,WILTING_PT,RESID_SAT,PORE_INDEX,HYDR_COND,CAPIL_HEAD
sand,0.437,0.091,0.033,0.02,0.694,23.56,4.95
loamy_sand,0.437,0.125,0.055,0.035,0.553,5.98,6.13
sandy_loam,0.453,0.207,0.095,0.041,0.378,2.18,11.01
loam,0.463,0.27,0.117,0.027,0.252,1.32,8.89
silt_loam,0.501,0.33,0.133,0.015,0.234,0.68,16.68
sandy_clay_loam,0.398,0.255,0.148,0.068,0.319,0.3,21.85
clay_loam,0.464,0.318,0.197,0.075,0.242,0.2,20.88
silty_clay_loam,0.471,0.366,0.208,0.04,0.177,0.2,27.3
sandy_clay,0.43,0.339,0.239,0.109,0.223,0.12,23.9
silty_clay,0.479,0.387,0.25,0.056,0.15,0.1,29.22
clay,0.475,0.396,0.272,0.09,0.165,0.06,31.63
